title,url,doi,abstract,year,num_pages,paper_type,bibtex
VIRTSI: A novel trust dynamics model enhancing Artificial Intelligence collaboration with human users – Insights from a ChatGPT evaluation study,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194165210&origin=inward,10.1016/j.ins.2024.120759,"AbstractView references

The rapid integration of intelligent processes and methods into information systems in the Artificial Intelligence (AI) era has led to a substantial shift towards autonomous software decision-making. This evolution necessitates robust human oversight, especially in critical domains like Healthcare, Education, and Energy. Human trust in AI plays a vital role in influencing decision-making processes of users interacting with AI. This paper presents VIRTSI (Variability and Impact of Reciprocal Trust States towards Intelligent systems), a novel rigorous computational model for human-AI Interaction. VIRTSI simulates human trust states, spanning from overtrust to distrust, through user modelling. It comprises: 1. A trust dynamics representational model based on Deterministic Finite State Automata (DFAs), illustrating transitions among cognitive trust states in response to AI-generated replies. 2. A trust evaluation model based on Confusion Matrices, originating from machine learning and Accuracy Metrics, providing a quantitative framework for analysing human trust dynamics. As a result, this is the first time that trust dynamics have been thoroughly traced in a representational model and a method has been developed to assess the impact of possibly harmful states like overtrust and distrust. An empirical study on the recently launched Large Language Model of generative AI, ChatGPT (version 3.5), provides a radical underexplored AI-generated platform for evaluating the human-AI interaction through VIRTSI. The study involved 1200 interactions of real users as well as AI experts together with experts in two very different domains of evaluation, namely software engineering and poetry. This study traces trust dynamics and the emerging human-AI interaction, in concrete examples of real user synergies with generative AI. The research reveals the vital role of maintaining normal trust states for optimal human-AI interaction and that both AI and human users need further steps towards this goal. The real-world implications of this research can guide the creation and evaluation of user interfaces with AI and the incorporation of functionalities in the development of generative AI chatbots in terms of trust by providing a new rigorous DFA representational method of trust dynamics and a corresponding new perspective of confusion matrix evaluation method of the dynamics’ impact in the efficiency of human-AI dialogues. © 2024 The Author(s)",2024,4,Article,"@article{2-s2.0-85194165210,
  title={VIRTSI: A novel trust dynamics model enhancing Artificial Intelligence collaboration with human users – Insights from a ChatGPT evaluation study},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Graduate Teacher Education Students Use and Evaluate ChatGPT as an Essay-Writing Tool,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196078419&origin=inward,10.24059/olj.v28i2.4373,"AbstractView references

Artificial intelligence (AI) has been evolving since the mid-twentieth-century when luminaries such as Alan Turing, Herbert Simon, and Marvin Minsky began developing rudimentary AI applications. For decades, AI programs remained pretty much in the realm of computer science and experimental game playing. This changed radically in the 2020s when commercial vendors such as OpenAI and Google developed generative AI programs (ChatGPT and Bard) using large language modelling (LLM). As a result, generative AI is now being considered for use in all walks of life, including education. In spring 2023, when ChatGPT burst into the public psyche, twenty-five education students in the author’s graduate seminar were invited to participate in a qualitative study using ChatGPT as an essay-writing tool. Fifteen accepted the offer. The purpose in doing this was to give students in this seminar the opportunity to use ChatGPT in a supportive environment and to collect qualitative data via descriptive written evaluation and a focus group to comment on their experiences using ChatGPT. All of these students have master’s degrees in education and experience as teachers in New York City schools. Their training and experience give them keen insights into pedagogical practice making them ideally suited to evaluate ChatGPT as an essay-writing tool. This article reports on the results of this study. Key findings indicate that the vast majority of these students had a good experience in using ChatGPT for their essays. Many, especially the secondary school teachers, would use it in their own classes. © 2024, The Online Learning Consortium. All rights reserved.",2024,4,Article,"@article{2-s2.0-85196078419,
  title={Graduate Teacher Education Students Use and Evaluate ChatGPT as an Essay-Writing Tool},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Docimological Quality Analysis of LLM-Generated Multiple Choice Questions in Computer Science and Medicine,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195831080&origin=inward,10.1007/s42979-024-02963-6,"AbstractView references

Assessment is an essential part of education, both for teachers who assess their students as well as learners who may evaluate themselves. Multiple-choice questions (MCQ) are one of the most popular types of knowledge assessment, e.g., in medical education, as they can be automatically graded and can cover a wide range of learning items. However, the creation of high-quality MCQ items is a time-consuming task. The recent advent of Large Language Models (LLM), such as Generative Pre-trained Transformer (GPT), caused a new momentum for automatic question generation solutions. Still, evaluating generated questions according to the best practices for MCQ item writing is needed to ensure docimological quality. In this article, we propose an analysis of the quality of LLM-generated MCQs. We employ zero-shot approaches in two domains, namely computer science and medicine. In the former, we make use of 3 GPT-based services to generate MCQs. In the latter, we developed a plugin for the Moodle learning management system that generates MCQs based on learning material. We compare the generated MCQs against common multiple-choice item writing guidelines. Among the major challenges, we determined that while LLMs are certainly useful in generating MCQs more efficiently, they sometimes create broad items with ambiguous keys or implausible distractors. Human oversight is also necessary to ensure instructional alignment between generated items and course contents. Finally, we propose solutions for AQG developers. © The Author(s) 2024.",2024,4,Article,"@article{2-s2.0-85195831080,
  title={Docimological Quality Analysis of LLM-Generated Multiple Choice Questions in Computer Science and Medicine},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Application of ChatGPT for automated problem reframing across academic domains,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85180303050&origin=inward,10.1016/j.caeai.2023.100194,"AbstractView references

This paper explores the potential of large language models, specifically ChatGPT, to reframe problems from probability theory and statistics, making them accessible to students across diverse academic fields including biology, economics, law, and engineering. The aim of this study is to enhance interdisciplinary learning by rendering complex concepts more accessible, relevant, and engaging. We conducted a pilot study using ChatGPT to adapt problems across 17 disciplines, evaluated through expert review. Our results demonstrate the significant potential of ChatGPT in reshaping problems for diverse settings, preserving theoretical meaning in 77.1% of cases, and requiring no or only minor revisions in 74% of cases. An evaluation performed by 23 domain experts revealed that in 73.6% of cases the reframed problem was considered to add educational value compared to a corresponding abstract problem and to represent a real-world scenario in 57.0% of cases. Furthermore, a survey involving 44 Computer Science students revealed a diverse range of preferences between original and reframed problems, underscoring the importance of considering student preferences and learning styles in the design of educational content. The study offers insights into the practicality and efficacy of employing large language models, like ChatGPT, to enhance interdisciplinary education and foster greater student engagement and understanding. © 2023 The Author(s)",2024,4,Article,"@article{2-s2.0-85180303050,
  title={Application of ChatGPT for automated problem reframing across academic domains},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
ChatGPT and Bard Performance on the POSCOMP Exam,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194877629&origin=inward,10.1145/3658271.3658320,"AbstractView references

Context: Modern chatbots, built upon advanced language models, have achieved remarkable proficiency in answering questions across diverse fields. Problem: Understanding the capabilities and limitations of these chatbots is a significant challenge, particularly as they are integrated into different information systems, including those in education. Solution: In this study, we conducted a quantitative assessment of the ability of two prominent chatbots, ChatGPT and Bard, to solve POSCOMP questions. IS Theory: The IS theory used in this work is Information processing theory. Method: We used a total of 271 questions from the last five POSCOMP exams that did not rely on graphic content as our materials. We presented these questions to the two chatbots in two formats: directly as they appeared in the exam and with additional context. In the latter case, the chatbots were informed that they were answering a multiple-choice question from a computing exam. Summary of Results: On average, chatbots outperformed human exam-takers by more than 20%. Interestingly, both chatbots performed better, in average, without additional context added to the prompt. They exhibited similar performance levels, with a slight advantage observed for ChatGPT. Contributions and Impact in the IS area: The primary contribution to the field involves the exploration of the capabilities and limitations of chatbots in addressing computing-related questions. This information is valuable for individuals developing Information Systems with the assistance of such chatbots or those relying on technologies built upon these capabilities. © 2024 ACM.",2024,4,Conference Paper,"@article{2-s2.0-85194877629,
  title={ChatGPT and Bard Performance on the POSCOMP Exam},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Learning Agent-based Modeling with LLM Companions: Experiences of Novices and Experts Using ChatGPT &amp; NetLogo Chat,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194900868&origin=inward,10.1145/3613904.3642377,"AbstractView references

Large Language Models (LLMs) have the potential to fundamentally change the way people engage in computer programming. Agent-based modeling (ABM) has become ubiquitous in natural and social sciences and education, yet no prior studies have explored the potential of LLMs to assist it. We designed NetLogo Chat to support the learning and practice of NetLogo, a programming language for ABM. To understand how users perceive, use, and need LLM-based interfaces, we interviewed 30 participants from global academia, industry, and graduate schools. Experts reported more perceived benefits than novices and were more inclined to adopt LLMs in their workflow. We found significant differences between experts and novices in their perceptions, behaviors, and needs for human-AI collaboration. We surfaced a knowledge gap between experts and novices as a possible reason for the benefit gap. We identified guidance, personalization, and integration as major needs for LLM-based interfaces to support the programming of ABM. © 2024 Copyright held by the owner/author(s)",2024,4,Conference Paper,"@article{2-s2.0-85194900868,
  title={Learning Agent-based Modeling with LLM Companions: Experiences of Novices and Experts Using ChatGPT &amp; NetLogo Chat},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Co-Designing QickPic: Automated Topic-Specific Communication Boards from Photographs for AAC-Based Language Instruction,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194892913&origin=inward,10.1145/3613904.3642080,"AbstractView references

Traditional topic-specific communication boards for Augmentative and Alternative Communication (AAC) require manual programming of relevant symbolic vocabulary, which is time-consuming and often impractical even for experienced Speech-Language Pathologists (SLPs). While recent research has demonstrated the potential to automatically generate these boards from photographs using artificial intelligence, there has been no exploration on how to design such tools to support the specific needs of AAC-based language instruction. This paper introduces QuickPic, a mobile AAC application co-designed with SLPs and special educators, aimed at enhancing language learning for non-speaking individuals, such as autistic children. Through a 17-month design process, we uncover the unique design features required to provide timely language support in therapy and special education contexts. We present emerging evidence on the overall satisfaction of SLPs using QuickPic, and on the advantages of large language model-based generation compared to the existing technique for automated vocabulary from photographs for AAC. © 2024 Copyright held by the owner/author(s)",2024,4,Conference Paper,"@article{2-s2.0-85194892913,
  title={Co-Designing QickPic: Automated Topic-Specific Communication Boards from Photographs for AAC-Based Language Instruction},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
ChatScratch: An AI-Augmented System Toward Autonomous Visual Programming Learning for Children Aged 6-12,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194854287&origin=inward,10.1145/3613904.3642229,"AbstractView references

As Computational Thinking (CT) continues to permeate younger age groups in K-12 education, established CT platforms such as Scratch face challenges in catering to these younger learners, particularly those in the elementary school (ages 6-12). Through formative investigation with Scratch experts, we uncover three key obstacles to children's autonomous Scratch learning: artist's block in project planning, bounded creativity in asset creation, and inadequate coding guidance during implementation. To address these barriers, we introduce ChatScratch, an AI-augmented system to facilitate autonomous programming learning for young children. ChatScratch employs structured interactive storyboards and visual cues to overcome artist's block, integrates digital drawing and advanced image generation technologies to elevate creativity, and leverages Scratch-specialized Large Language Models (LLMs) for professional coding guidance. Our study shows that, compared to Scratch, ChatScratch efficiently fosters autonomous programming learning, and contributes to the creation of high-quality, personally meaningful Scratch projects for children. © 2024 Copyright held by the owner/author(s)",2024,4,Conference Paper,"@article{2-s2.0-85194854287,
  title={ChatScratch: An AI-Augmented System Toward Autonomous Visual Programming Learning for Children Aged 6-12},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Teach AI How to Code: Using Large Language Models as Teachable Agents for Programming Education,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194853499&origin=inward,10.1145/3613904.3642349,"AbstractView references

This work investigates large language models (LLMs) as teachable agents for learning by teaching (LBT). LBT with teachable agents helps learners identify knowledge gaps and discover new knowledge. However, teachable agents require expensive programming of subject-specific knowledge. While LLMs as teachable agents can reduce the cost, LLMs' expansive knowledge as tutees discourages learners from teaching. We propose a prompting pipeline that restrains LLMs' knowledge and makes them initiate “why” and “how” questions for effective knowledge-building. We combined these techniques into TeachYou, an LBT environment for algorithm learning, and AlgoBo, an LLM-based tutee chatbot that can simulate misconceptions and unawareness prescribed in its knowledge state. Our technical evaluation confirmed that our prompting pipeline can effectively configure AlgoBo's problem-solving performance. Through a between-subject study with 40 algorithm novices, we also observed that AlgoBo's questions led to knowledge-dense conversations (effect size=0.71). Lastly, we discuss design implications, cost-efficiency, and personalization of LLM-based teachable agents. © 2024 Copyright held by the owner/author(s)",2024,4,Conference Paper,"@article{2-s2.0-85194853499,
  title={Teach AI How to Code: Using Large Language Models as Teachable Agents for Programming Education},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
CodeAid: Evaluating a Classroom Deployment of an LLM-based Programming Assistant that Balances Student and Educator Needs,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194852991&origin=inward,10.1145/3613904.3642773,"AbstractView references

Timely, personalized feedback is essential for students learning programming. LLM-powered tools like ChatGPT offer instant support, but reveal direct answers with code, which may hinder deep conceptual engagement. We developed CodeAid, an LLM-powered programming assistant delivering helpful, technically correct responses, without revealing code solutions. CodeAid answers conceptual questions, generates pseudo-code with line-by-line explanations, and annotates student's incorrect code with fix suggestions. We deployed CodeAid in a programming class of 700 students for a 12-week semester. A thematic analysis of 8,000 usages of CodeAid was performed, further enriched by weekly surveys, and 22 student interviews. We then interviewed eight programming educators to gain further insights. Our findings reveal four design considerations for future educational AI assistants: D1) exploiting AI's unique benefits; D2) simplifying query formulation while promoting cognitive engagement; D3) avoiding direct responses while encouraging motivated learning; and D4) maintaining transparency and control for students to asses and steer AI responses. © 2024 Copyright held by the owner/author(s)",2024,4,Conference Paper,"@article{2-s2.0-85194852991,
  title={CodeAid: Evaluating a Classroom Deployment of an LLM-based Programming Assistant that Balances Student and Educator Needs},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
