id,title,bibtex_id,url,type,doi,is_relevant,source,year
1,Safety Case Practice - Meet the Challenge,,https://link.springer.com/chapter/10.1007/1-84628-447-3_5,,10.1007/1-84628-447-3_5,,springer,2006
2,Determination of Storage Locations for Incoming Containers of Uncertain Weight,,https://link.springer.com/chapter/10.1007/11779568_123,,10.1007/11779568_123,,springer,2006
3,Towards a Digital Library for Language Learning,,https://link.springer.com/chapter/10.1007/11863878_29,,10.1007/11863878_29,,springer,2006
4,Measuring Core Inflation by Multivariate Structural Time Series Models,,https://link.springer.com/chapter/10.1007/3-540-36626-1_10,,10.1007/3-540-36626-1_10,,springer,2007
5,Random Mapping Statistics,,https://link.springer.com/chapter/10.1007/3-540-46885-4_34,,10.1007/3-540-46885-4_34,,springer,1990
6,A skills-driven process for training computer professionals,,https://link.springer.com/chapter/10.1007/3-540-58951-1_119,,10.1007/3-540-58951-1_119,,springer,1995
7,Inductive logic programming beyond logical implication,,https://link.springer.com/chapter/10.1007/3-540-61863-5_46,,10.1007/3-540-61863-5_46,,springer,1996
8,Legal Case Analysis in IS Research: Failures in Employing and Outsourcing for IT Professionals,,https://link.springer.com/chapter/10.1007/978-0-387-35309-8_25,,10.1007/978-0-387-35309-8_25,,springer,1997
9,The Offshoring Obstacle Course,,https://link.springer.com/chapter/10.1007/978-1-4302-0740-5_3,,10.1007/978-1-4302-0740-5_3,,springer,2004
10,E-Government Interoperability Framework: A Case Study in a Developing Country,,https://link.springer.com/chapter/10.1007/978-1-4419-6536-3_32,,10.1007/978-1-4419-6536-3_32,,springer,2010
11,Distillation,,https://link.springer.com/chapter/10.1007/978-1-4419-7713-7_4,,10.1007/978-1-4419-7713-7_4,,springer,2011
12,Machine vision for industrial applications,,https://link.springer.com/chapter/10.1007/978-1-4471-0239-7_1,,10.1007/978-1-4471-0239-7_1,,springer,2001
13,Performance Evaluation of a Database System in Multiple Backend Configurations,,https://link.springer.com/chapter/10.1007/978-1-4612-5144-6_5,,10.1007/978-1-4612-5144-6_5,,springer,1985
14,Chip-To-Package Interconnections,,https://link.springer.com/chapter/10.1007/978-1-4615-6037-1_2,,10.1007/978-1-4615-6037-1_2,,springer,1997
15,Lateralization of Emotional or Behavioral Responses in Intact and Hemisphere-Damaged Humans and Rats,,https://link.springer.com/chapter/10.1007/978-1-4684-7890-7_10,,10.1007/978-1-4684-7890-7_10,,springer,1982
16,Intelligent Agents for Document Categorization and Adaptive Filtering Using a Neural Network Approach and Fuzzy Logic,,https://link.springer.com/chapter/10.1007/978-1-4757-3739-4_12,,10.1007/978-1-4757-3739-4_12,,springer,2003
17,Advanced SXO Techniques,,https://link.springer.com/chapter/10.1007/978-1-4842-9212-9_4,,10.1007/978-1-4842-9212-9_4,,springer,2023
18,Fundamentals of Natural Language Processing,,https://link.springer.com/chapter/10.1007/978-1-4842-9221-1_5,,10.1007/978-1-4842-9221-1_5,,springer,2023
19,Data,,https://link.springer.com/chapter/10.1007/978-1-4842-9367-6_2,,10.1007/978-1-4842-9367-6_2,,springer,2023
20,Large Language Models,,https://link.springer.com/chapter/10.1007/978-1-4842-9367-6_5,,10.1007/978-1-4842-9367-6_5,,springer,2023
21,The Transformation of Business,,https://link.springer.com/chapter/10.1007/978-1-4842-9367-6_7,,10.1007/978-1-4842-9367-6_7,,springer,2023
22,The Impact on Major Industries,,https://link.springer.com/chapter/10.1007/978-1-4842-9367-6_8,,10.1007/978-1-4842-9367-6_8,,springer,2023
23,Generating Creativity from Negativity,,https://link.springer.com/chapter/10.1007/978-1-4842-9579-3_1,,10.1007/978-1-4842-9579-3_1,,springer,2023
24,Use Cases,,https://link.springer.com/chapter/10.1007/978-1-4842-9579-3_12,,10.1007/978-1-4842-9579-3_12,,springer,2023
25,Future Trends in AI and Its Considerations for Business,,https://link.springer.com/chapter/10.1007/978-1-4842-9669-1_23,,10.1007/978-1-4842-9669-1_23,,springer,2023
26,The Practical Concepts of Machine Learning,,https://link.springer.com/chapter/10.1007/978-1-4842-9801-5_2,,10.1007/978-1-4842-9801-5_2,,springer,2024
27,Understanding AI,,https://link.springer.com/chapter/10.1007/978-1-4842-9852-7_7,,10.1007/978-1-4842-9852-7_7,,springer,2023
28,"Bureaucracy, Safety and Software: a Potentially Lethal Cocktail",,https://link.springer.com/chapter/10.1007/978-1-84996-086-1_2,,10.1007/978-1-84996-086-1_2,,springer,2010
29,So What’s the Plan? Mining Strategic Planning Documents,,https://link.springer.com/chapter/10.1007/978-3-030-65218-0_16,,10.1007/978-3-030-65218-0_16,,springer,2020
30,Legal Tech and Lawtech: Towards a Framework for Technological Trends in the Legal Services Industry,,https://link.springer.com/chapter/10.1007/978-3-030-66661-3_11,,10.1007/978-3-030-66661-3_11,,springer,2021
31,Learner Models for MOOC in a Lifelong Learning Context: A Systematic Literature Review,,https://link.springer.com/chapter/10.1007/978-3-030-86439-2_20,,10.1007/978-3-030-86439-2_20,,springer,2021
32,Exploring Unique App Signature of the Depressed and Non-depressed Through Their Fingerprints on Apps,,https://link.springer.com/chapter/10.1007/978-3-030-99194-4_15,,10.1007/978-3-030-99194-4_15,,springer,2022
33,The Ethics of Computational Social Science,,https://link.springer.com/chapter/10.1007/978-3-031-16624-2_4,,10.1007/978-3-031-16624-2_4,,springer,2023
