title,published,link,DOI,authors,content_type,abstract
"Large Language Model Assisted Software Engineering: Prospects, Challenges, and a Case Study",2024,https://link.springer.com/chapter/10.1007/978-3-031-46002-9_23,10.1007/978-3-031-46002-9_23,"Lenz Belzner, Thomas Gabor, Martin Wirsing",Conference paper,No abstract available for this DOI.
Docimological Quality Analysis of LLM-Generated Multiple Choice Questions in Computer Science and Medicine,10 June 2024,/article/10.1007/s42979-024-02963-6,10.1007/s42979-024-02963-6,"Christian Grévisse, Maria Angeliki S. Pavlou, Jochen G. Schneider",Article,"<jats:title>Abstract</jats:title><jats:p>Assessment is an essential part of education, both for teachers who assess their students as well as learners who may evaluate themselves. Multiple-choice questions (MCQ) are one of the most popular types of knowledge assessment, e.g., in medical education, as they can be automatically graded and can cover a wide range of learning items. However, the creation of high-quality MCQ items is a time-consuming task. The recent advent of Large Language Models (LLM), such as Generative Pre-trained Transformer (GPT), caused a new momentum for automatic question generation solutions. Still, evaluating generated questions according to the best practices for MCQ item writing is needed to ensure docimological quality. In this article, we propose an analysis of the quality of LLM-generated MCQs. We employ zero-shot approaches in two domains, namely computer science and medicine. In the former, we make use of 3 GPT-based services to generate MCQs. In the latter, we developed a plugin for the Moodle learning management system that generates MCQs based on learning material. We compare the generated MCQs against common multiple-choice item writing guidelines. Among the major challenges, we determined that while LLMs are certainly useful in generating MCQs more efficiently, they sometimes create broad items with ambiguous keys or implausible distractors. Human oversight is also necessary to ensure instructional alignment between generated items and course contents. Finally, we propose solutions for AQG developers.</jats:p>"
Assistant Teaching System for Computer Hardware Courses Based on Large Language Model,2024,https://link.springer.com/chapter/10.1007/978-981-97-0730-0_27,10.1007/978-981-97-0730-0_27,"Dongdong Zhang, Qian Cao, ... Lisheng Wang",Conference paper,No abstract available for this DOI.
Automated quantum software engineering,12 April 2024,/article/10.1007/s10515-024-00436-x,10.1007/s10515-024-00436-x,Aritra Sarkar,Article,"<jats:title>Abstract</jats:title><jats:p>As bigger quantum processors with hundreds of qubits become increasingly available, the potential for quantum computing to solve problems intractable for classical computers is becoming more tangible. Designing efficient quantum algorithms and software in tandem is key to achieving quantum advantage. Quantum software engineering is challenging due to the unique counterintuitive nature of quantum logic. Moreover, with larger quantum systems, traditional programming using quantum assembly language and qubit-level reasoning is becoming infeasible. Automated Quantum Software Engineering (AQSE) can help to reduce the barrier to entry, speed up development, reduce errors, and improve the efficiency of quantum software. This article elucidates the motivation to research AQSE (why), a precise description of such a framework (what), and reflections on components that are required for implementing it (how).</jats:p>"
Large language model and domain-specific model collaboration for smart education,23 March 2024,/article/10.1631/FITEE.2300747,10.1631/FITEE.2300747,"Yawei Luo, Yi Yang",Article,No abstract available for this DOI.
A survey on large language model based autonomous agents,22 March 2024,/article/10.1007/s11704-024-40231-1,10.1007/s11704-024-40231-1,"Lei Wang, Chen Ma, ... Jirong Wen",Article,"<jats:title>Abstract</jats:title><jats:p>Autonomous agents have long been a research focus in academic and industry communities. Previous research often focuses on training agents with limited knowledge within isolated environments, which diverges significantly from human learning processes, and makes the agents hard to achieve human-like decisions. Recently, through the acquisition of vast amounts of Web knowledge, large language models (LLMs) have shown potential in human-level intelligence, leading to a surge in research on LLM-based autonomous agents. In this paper, we present a comprehensive survey of these studies, delivering a systematic review of LLM-based autonomous agents from a holistic perspective. We first discuss the construction of LLM-based autonomous agents, proposing a unified framework that encompasses much of previous work. Then, we present a overview of the diverse applications of LLM-based autonomous agents in social science, natural science, and engineering. Finally, we delve into the evaluation strategies commonly used for LLM-based autonomous agents. Based on the previous studies, we also present several challenges and future directions in this field.</jats:p>"
Large Language Model for Geometric Algebra: A Preliminary Attempt,2024,https://link.springer.com/chapter/10.1007/978-3-031-50078-7_19,10.1007/978-3-031-50078-7_19,"Jian Wang, Ziqiang Wang, ... Zhaoyuan Yu",Conference paper,No abstract available for this DOI.
Evaluation of LLM Tools for Feedback Generation in a Course on Concurrent Programming,15 May 2024,/article/10.1007/s40593-024-00406-0,10.1007/s40593-024-00406-0,"Iria Estévez-Ayres, Patricia Callejo, ... Carlos Delgado Kloos",Article,"<jats:title>Abstract</jats:title><jats:p>The emergence of Large Language Models (LLMs) has marked a significant change in education. The appearance of these LLMs and their associated chatbots has yielded several advantages for both students and educators, including their use as teaching assistants for content creation or summarisation. This paper aims to evaluate the capacity of LLMs chatbots to provide feedback on student exercises in a university programming course. The complexity of the programming topic in this study (concurrency) makes the need for feedback to students even more important. The authors conducted an assessment of exercises submitted by students. Then, ChatGPT (from OpenAI) and Bard (from Google) were employed to evaluate each exercise, looking for typical concurrency errors, such as starvation, deadlocks, or race conditions. Compared to the ground-truth evaluations performed by expert teachers, it is possible to conclude that none of these two tools can accurately assess the exercises despite the generally positive reception of LLMs within the educational sector. All attempts result in an accuracy rate of 50%, meaning that both tools have limitations in their ability to evaluate these particular exercises effectively, specifically finding typical concurrency errors.</jats:p>"
Automated Comment Generation Based on the Large Language Model,2024,https://link.springer.com/chapter/10.1007/978-981-97-0730-0_25,10.1007/978-981-97-0730-0_25,"Kaiwei Cai, Junsheng Zhou, ... Xianzhuo Li",Conference paper,No abstract available for this DOI.
Can AI serve as a substitute for human subjects in software engineering research?,11 January 2024,/article/10.1007/s10515-023-00409-6,10.1007/s10515-023-00409-6,"Marco Gerosa, Bianca Trinkenreich, ... Anita Sarma",Article,No abstract available for this DOI.
Performance of Large Language Models in a Computer Science Degree Program,2024,https://link.springer.com/chapter/10.1007/978-3-031-50485-3_40,10.1007/978-3-031-50485-3_40,"Tim Krüger, Michael Gref",Conference paper,No abstract available for this DOI.
