title,published,link,DOI,authors,content_type
"Large Language Model Assisted Software Engineering: Prospects, Challenges, and a Case Study",2024,https://link.springer.com/chapter/10.1007/978-3-031-46002-9_23,10.1007/978-3-031-46002-9_23,"Lenz Belzner, Thomas Gabor, Martin Wirsing",Conference paper
Docimological Quality Analysis of LLM-Generated Multiple Choice Questions in Computer Science and Medicine,10 June 2024,/article/10.1007/s42979-024-02963-6,10.1007/s42979-024-02963-6,"Christian Grévisse, Maria Angeliki S. Pavlou, Jochen G. Schneider",Article
Assistant Teaching System for Computer Hardware Courses Based on Large Language Model,2024,https://link.springer.com/chapter/10.1007/978-981-97-0730-0_27,10.1007/978-981-97-0730-0_27,"Dongdong Zhang, Qian Cao, ... Lisheng Wang",Conference paper
Automated quantum software engineering,12 April 2024,/article/10.1007/s10515-024-00436-x,10.1007/s10515-024-00436-x,Aritra Sarkar,Article
Large language model and domain-specific model collaboration for smart education,23 March 2024,/article/10.1631/FITEE.2300747,10.1631/FITEE.2300747,"Yawei Luo, Yi Yang",Article
A survey on large language model based autonomous agents,22 March 2024,/article/10.1007/s11704-024-40231-1,10.1007/s11704-024-40231-1,"Lei Wang, Chen Ma, ... Jirong Wen",Article
Large Language Model for Geometric Algebra: A Preliminary Attempt,2024,https://link.springer.com/chapter/10.1007/978-3-031-50078-7_19,10.1007/978-3-031-50078-7_19,"Jian Wang, Ziqiang Wang, ... Zhaoyuan Yu",Conference paper
Evaluation of LLM Tools for Feedback Generation in a Course on Concurrent Programming,15 May 2024,/article/10.1007/s40593-024-00406-0,10.1007/s40593-024-00406-0,"Iria Estévez-Ayres, Patricia Callejo, ... Carlos Delgado Kloos",Article
Automated Comment Generation Based on the Large Language Model,2024,https://link.springer.com/chapter/10.1007/978-981-97-0730-0_25,10.1007/978-981-97-0730-0_25,"Kaiwei Cai, Junsheng Zhou, ... Xianzhuo Li",Conference paper
Can AI serve as a substitute for human subjects in software engineering research?,11 January 2024,/article/10.1007/s10515-023-00409-6,10.1007/s10515-023-00409-6,"Marco Gerosa, Bianca Trinkenreich, ... Anita Sarma",Article
Performance of Large Language Models in a Computer Science Degree Program,2024,https://link.springer.com/chapter/10.1007/978-3-031-50485-3_40,10.1007/978-3-031-50485-3_40,"Tim Krüger, Michael Gref",Conference paper
Transforming Driver Education: A Comparative Analysis of LLM-Augmented Training and Conventional Instruction for Autonomous Vehicle Technologies,14 May 2024,/article/10.1007/s40593-024-00407-z,10.1007/s40593-024-00407-z,"Mohsin Murtaza, Chi-Tsun Cheng, ... John Zeleznikow",Article
LLM examiner: automating assessment in informal self-directed e-learning using ChatGPT,10 June 2024,/article/10.1007/s10115-024-02156-w,10.1007/s10115-024-02156-w,"Nursultan Askarbekuly, Nenad Aničić",Article
Exploring Gender Bias In Remote Pair Programming Among Software Engineering Students: The twincode Original Study And First External Replication,01 February 2024,/article/10.1007/s10664-023-10416-6,10.1007/s10664-023-10416-6,"Amador Durán Toro, Pablo Fernández, ... Armando Fox",Article
